:START_ID;:END_ID;year
710919;363406;1985
710919;363935;1988
710919;363430;1985
710919;363951;1990
710919;711603;1984
710919;363469;1987
710919;11222;1989
710919;11771;1994
710919;711676;1993
710919;363518;1983
363579;14344;1993
363579;363533;1993
363579;610340;1995
363579;11334;1991
363579;363597;1989
363579;610400;1992
363579;610455;1994
363579;10919;1997
363579;711335;1991
363579;14529;1994
363579;10948;1993
363579;363214;1992
363579;711378;1998
363579;610545;1995
363579;363771;1991
363579;363772;1990
363579;710919;1981
363579;363788;1992
363579;363794;1993
363579;610608;1993
363579;13647;1998
363579;363875;1987
363579;363876;1984
363579;363406;1985
363579;12697;1993
363579;363932;1992
363579;12200;1995
363579;363951;1990
363579;363445;1985
363579;14273;1995
363579;363461;1985
363579;11222;1989
363579;13290;1991
1527604;10919;1997
1527604;13290;1991
1527604;14411;1994
1527604;11636;1994
13290;14273;1995
13290;10919;1997
363449;14344;1993
363449;11529;1995
363449;363657;1989
363449;10919;1997
363449;363694;1986
363449;363951;1990
363449;10948;1993
363449;363877;1998
363536;711378;1998
363536;10919;1997
363700;610177;1995
363700;610693;1994
363700;11529;1995
363700;610596;2000
363700;10919;1997
363700;817478;1992
363700;12772;1998
363700;11376;1996
363700;363509;1997
243230;10919;1997
1839590;816659;1997
1839590;12055;1993
1839590;11553;1997
1839590;10925;1997
1839590;11568;1994
1839590;10932;1996
1839590;12983;1997
1839590;11470;1997
1839590;12399;1995
361620;10925;1997
361620;13295;1996
361620;12055;1993
1840363;11568;1994
1840363;491665;1995
1840363;10925;1997
1840959;10925;1997
1839437;11568;1994
1839437;10925;1997
300883;12066;1996
300883;301477;2000
300883;11815;1998
300883;10926;1997
300883;12982;1997
300883;11602;1998
300883;363864;1997
300883;12632;1998
300883;300896;1998
300883;11109;1995
300883;10989;1998
300883;14190;1996
300883;13813;1998
363235;363277;1987
363235;12432;1997
363235;13841;1993
363235;363670;1998
363235;711320;1991
363235;363807;1994
363235;12835;1994
363235;11811;1992
363235;301477;2000
363235;10926;1997
363235;14273;1995
363235;711235;1988
363235;12996;1990
363235;363475;1992
363235;12150;1994
363235;13055;1993
363267;11782;1998
363267;363663;1997
363267;12432;1997
363267;14354;1997
363267;711320;1991
363267;363807;1994
363267;11811;1992
363267;12835;1994
363267;11815;1998
363267;10926;1997
363267;13870;1994
363267;11069;1991
363267;14273;1995
363267;610758;1994
363267;11602;1998
363267;610774;1996
363267;363864;1997
363267;12908;1993
363267;14190;1996
12996;12432;1997
12996;13841;1993
12996;14354;1997
12996;11811;1992
12996;10926;1997
12996;13870;1994
12996;14273;1995
12996;363617;1999
12996;12908;1993
12996;11758;1992
12996;14190;1996
12996;12150;1994
989202;14273;1995
989202;10926;1997
989202;14354;1997
363277;11782;1998
363277;13841;1993
363277;14354;1997
363277;11811;1992
363277;11815;1998
363277;13870;1994
363277;610369;1996
363277;14443;1995
363277;12908;1993
363277;610953;1993
363277;12432;1997
363277;711320;1991
363277;10926;1997
363277;12982;1997
363277;12996;1990
363277;13515;1995
363277;816857;1991
363277;14062;1993
363277;13055;1993
363277;363267;1988
363277;363283;1996
363277;363294;1995
