:ID;author:string
6777872;Elke A. Rundensteiner
6778389;Chye-Lin Chee
6778391;Hong Tang
6778390;Hongjun Lu
6778230;C. V. Ramamoorthy
6778417;Haran Boral
6778421;Scott Danforth
6778418;William Alexander
6778419;Larry Clay
6778422;Michael J. Franklin
6778423;Brian E. Hart
6778424;Marc G. Smith
6764037;Patrick Valduriez
6778420;George P. Copeland
6778429;Rudi Cilibrasi
6778430;Paul M. B. Vitányi
6778336;Marco Gori
6778432;Marco Maggini
6778337;Giovanni Soda
6778335;Paolo Frasconi
6778436;Robert A. Weida
6778434;Sitaram Lanka
6778435;Robert Dionne
6778433;Eric Mays
6778437;HweeHwa Pang
6763725;Miron Livny
6778446;David Toman
6778445;Jan Chomicki
6778447;Dmitri A. Rachkovskij
6778468;Changhwa Lin
6778467;Wing Lee
6778466;Dan I. Moldovan
6778484;Jennifer Widom
6778496;David Botzer
6778497;Opher Etzion
6778499;Leonid Libkin
6778498;Timothy Griffin
6778500;Howard Trickey
6778501;Sylvia L. Osborn
6778508;Jürgen Angele
6778509;Rudi Studer
6760816;Dieter Fensel
6761923;Hai Zhuge
6778513;Liang Feng
6778519;Fangju Wang
6778536;Jörg Liebeherr
6778490;Edward Omiecinski
6753703;Ian F. Akyildiz
6778545;Shalom Tsur
6778544;Sumit Ganguly
6778548;Francesca Spezzano
6778549;Irina Trubitsyna
6755502;Sergio Greco
6778552;Ernst L. Leiss
6778551;Ivo Majetic
6778564;M. B. O'Neal
6778565;W. R. Edwards Jr.
6778569;Piero A. Bonatti
6778570;Sarit Kraus
6778576;F. Bukhari
6778585;Lois M. L. Delcambre
6778584;Susan Darling Urban
6778590;Sakti P. Ghosh
6778591;Makoto Yokoo
6778592;Toru Ishida 0001
6763200;Edmund H. Durfee
6778593;Kazuhiro Kuwabara
6778639;Stamatis Vassiliadis
6778641;Walid Kobrosly
6778640;George Triantafyllos
6778642;Hirotoshi Maegawa
6778669;Rafiul Ahad
6778670;Bing Yao
6778691;Hiroko Fujihara
6778692;Dick B. Simmons
6778694;Robert E. Shannon
6778693;Newton C. Ellis
6778700;Xubo Zhang
6778704;Edward Sciore
6778703;Tzy-Hey Chang
6778709;Meng-Lai Yin
6778707;Lubomir Bic
6778708;Jonathan P. Gilbert
6778722;James J. Lu
6778723;Anil Nerode
6777858;Paolo Terenziani
6778786;Ashim Kohli
6778787;Mark Coyle
6778785;Babak Hamidzadeh
6778798;M. V. Ramakrishna
6778799;Edgar A. Ramos
6778801;Walter Chang
6778804;Paul F. Wilms
6778803;John McPherson
6778807;Hamid Pirahesh
6778802;Guy M. Lohman
6778806;Bruce G. Lindsay 0001
6778800;Laura M. Haas
6778805;George Lapis
6755753;Kotagiri Ramamohanarao
6778810;Justin Zobel
6778808;Ron Sacks-Davis
6762851;James A. Thom
6778809;Alan J. Kent
6778812;Amihai Motro
6777488;Krithi Ramamritham
6778830;Paola Foscoli
6757695;Lawrence B. Holder
6777864;Diane J. Cook
6778832;Shaul Dar
6755314;Rakesh Agrawal 0001
6778839;Haitao Jiang
6777466;Veda C. Storey
6777817;Robert C. Goldstein
6778848;Maria Francesca Costabile
6778849;Stefano Levialdi
6778846;Tiziana Catarci
6778847;Shi-Kuo Chang
6778850;Giuseppe Santucci
6778875;Surnjani Djoko
6778885;Susan E. Lander
6778886;Victor R. Lesser
6778909;Shamkant B. Navathe
6778908;Tarek M. Anwar
6778907;Howard W. Beck
6778928;Herman Lam
6778927;Mingsen Guo
6778926;Stanley Y. W. Su
6778935;Jim Diederich
6778936;Jack Milton
6778957;Robert Rush
6775703;William A. Wallace
6778977;Ahmed Karmouch
6778976;G. Sudhakar
6778978;Nicolas D. Georganas
6777467;Debabrata Dey
6778983;Terence M. Barron
6778984;Chee Yong Chan
6777397;Beng Chin Ooi
6778992;Alexander Borgida
6779013;Brian R. Gaines
6779014;Paul Compton
6771515;Mohamed S. Kamel
6779019;Derek Batty
6779030;Karl J. Lieberherr
6779031;Cun Xiao
6777763;John Grant
6779066;Asit Dan
6779075;Richard C. Waters
6779074;Charles Rich
6779088;Marco Schaerf
6779087;Paolo Liberatore
6779092;Georg Gottlob
6761323;Letizia Tanca
