:START_ID;:END_ID;pages:string;volume:string;year:int;Column1
11677;9046536;173-178;8;1996;11677
11678;9046536;486-495;3;1991;11678
11683;9046536;829-834;7;1995;11683
11686;9046536;975-984;8;1996;11686
11691;9046536;246-260;7;1995;11691
11696;9046536;548-554;8;1996;11696
11697;9046536;464-497;11;1999;11697
11703;9046536;22-37;6;1994;11703
11707;9046536;504-512;10;1998;11707
11723;9046536;643-648;6;1994;11723
11733;9046536;610-628;11;1999;11733
11736;9046536;238-254;10;1998;11736
11742;9046536;101-110;1;1989;11742
11744;9046536;347-350;7;1995;11744
11745;9046536;751-762;7;1995;11745
11747;9046536;855-858;10;1998;11747
11750;9046536;52-67;4;1992;11750
11753;9046536;691-698;7;1995;11753
11758;9046536;399;4;1992;11758
11771;9046536;470-478;6;1994;11771
11775;9046536;470-482;1;1989;11775
11782;9046536;793-807;10;1998;11782
11785;9046536;245-251;3;1991;11785
11790;9046536;193-208;10;1998;11790
11796;9046536;55-75;10;1998;11796
11800;9046536;3-21;6;1994;11800
11803;9046536;320-336;3;1991;11803
11807;9046536;968-983;7;1995;11807
11811;9046536;192-200;4;1992;11811
11815;9046536;389-408;10;1998;11815
11817;9046536;819-829;6;1994;11817
11819;9046536;382-395;6;1994;11819
11822;9046536;225-238;6;1994;11822
11829;9046536;120-135;6;1994;11829
11830;9046536;611-618;5;1993;11830
11832;9046536;426-438;5;1993;11832
11839;9046536;109-124;2;1990;11839
11843;9046536;947-954;7;1995;11843
11849;9046536;738-749;6;1994;11849
11851;9046536;530-534;5;1993;11851
11855;9046536;623-640;7;1995;11855
11857;9046536;190-209;2;1990;11857
11867;9046536;656-665;10;1998;11867
11870;9046536;911-922;9;1997;11870
11875;9046536;718-730;9;1997;11875
11886;9046536;122-125;5;1993;11886
11899;9046536;786-796;7;1995;11899
11900;9046536;619-628;5;1993;11900
11904;9046536;88-103;5;1993;11904
11905;9046536;797-808;7;1995;11905
11910;9046536;962-969;8;1996;11910
11925;9046536;802-815;8;1996;11925
11926;9046536;748-768;11;1999;11926
11927;9046536;753-761;5;1993;11927
11928;9046536;980-991;16;2004;11928
11933;9046536;825-838;8;1996;11933
11934;9046536;474-485;3;1991;11934
11943;9046536;533-539;8;1996;11943
11945;9046536;63-75;2;1990;11945
11963;9046536;9-16;1;1989;11963
11966;9046536;1002-1016;8;1996;11966
11968;9046536;494-507;1;1989;11968
11985;9046536;329-343;1;1989;11985
11990;9046536;1018-1038;5;1993;11990
11991;9046536;1670-1685;25;2013;11991
11997;9046536;444-454;6;1994;11997
12003;9046536;266-280;4;1992;12003
12009;9046536;257-265;5;1993;12009
12021;9046536;1-2;8;1996;12021
12033;9046536;868-882;6;1994;12033
12036;9046536;2717-2728;27;2015;12036
12037;9046536;690-706;8;1996;12037
12048;9046536;541-554;4;1992;12048
12049;9046536;499-503;10;1998;12049
12050;9046536;293-308;5;1993;12050
12051;9046536;993-997;19;2007;12051
12054;9046536;274-293;7;1995;12054
12055;9046536;985-987;5;1993;12055
12057;9046536;808-823;10;1998;12057
12066;9046536;724-741;8;1996;12066
12068;9046536;920-933;6;1994;12068
12074;9046536;281-292;3;1991;12074
12076;9046536;85-101;9;1997;12076
12078;9046536;26-43;7;1995;12078
